sub_extended_three_months_57126,"اشتراكك المميّز قد تمدّد بثلاثة أشهر إضافيّة","Votre abonnement premium a été prolongé de trois mois supplémentaires","Your premium subscription has been extended by three additional months"
congrats_one_year_84620,"تهانينا! لقد ربحت تمديداً بسنة كاملة","Félicitations ! Vous avez gagné une extension d’un an","Congratulations! You won a one-year extension"
sub_extended_one_year_49275,"اشتراكك المميّز قد تمدّد بسنة إضافيّة كاملة","Votre abonnement premium a été prolongé d’une année complète supplémentaire","Your premium subscription has been extended by a full additional year"
congrats_special_decor_71048,"تهانينا! لقد ربحت ديكوراً خاصّاً","Félicitations ! Vous avez gagné un décor spécial","Congratulations! You won a special decoration"
congrats_extra_thunder_36819,"تهانينا! لقد ربحت رعوداً إضافيّة","Félicitations ! Vous avez gagné des tonnerres supplémentaires","Congratulations! You won extra thunder"
grand_prize_info_99041,"صندوق فريد هي الجائزة الكبرى، الرّجاء الاتّصال بمركز الفريد لتتحصّل على جائزتك","Le coffre Ferid est le grand prix, veuillez contacter le centre Ferid pour récupérer votre récompense","The Ferid box is the grand prize. Please contact the Ferid center to receive your reward"
congrats_grand_prize_55403,"تهانينا! لقد ربحت الجائزة الكبرى!","Félicitations ! Vous avez gagné le grand prix !","Congratulations! You won the grand prize!"
useful_fact_23188,"معلومة مفيدة","Information utile","Useful fact"
extra_thunder_67952,"رعد إضافي","Tonnerre supplémentaire","Extra thunder"
longer_play_time_81547,"يمكنك التمتّع بالألعاب لفترة أطول","Vous pouvez profiter des jeux plus longtemps","You can enjoy the games for a longer time"
special_decor_label_40296,"ديكور خاص","Décor spécial","Special decoration"
menu_background_change_76014,"ستجد خلفيّة القائمة الرّئيسيّة مختلفة عن العادة","Vous trouverez l’arrière-plan du menu principal différent de l’habitude","You’ll find the main menu background different from usual"

phrase_1770115954,"جاري التّحميل","Chargement en cours","Loading"
phrase_1770205552,"سنوات","années","years"
phrase_1770205837,"تحميل","Télécharger","Download"
phrase_1770205892,"هيا بنا!","Allons-y!","Let's go!"
phrase_1770206059,"حذف","Supprimer","Delete"
phrase_1770364727,"ألعاب","Jeux","Games"

musical_intelligence_47291,"الذكاء الموسيقي","Intelligence musicale","Musical intelligence"
spatial_intelligence_61538,"الذكاء المكاني","Intelligence spatiale","Spatial intelligence"
bodily_kinesthetic_intelligence_83924,"الذكاء الحركي","Intelligence kinesthésique","Bodily-kinesthetic intelligence"
naturalistic_intelligence_29475,"الذكاء الطبيعي","Intelligence naturaliste","Naturalistic intelligence"
social_intelligence_56183,"الذكاء الاجتماعي","Intelligence sociale","Social intelligence"
linguistic_intelligence_70842,"الذكاء اللغوي","Intelligence linguistique","Linguistic intelligence"
logical_mathematical_intelligence_93651,"الذكاء المنطقي الرياضي","Intelligence logico-mathématique","Logical-mathematical intelligence"
intrapersonal_intelligence_18467,"الذكاء الذّاتي","Intelligence intrapersonnelle","Intrapersonal intelligence"
multiple_intelligences_65029,"الذكائات المتنوّعة","Intelligences multiples","Multiple intelligences"

ferid_among_civilizations_72841,"فريد بين الحضارات","Ferid à travers les civilisations","Ferid among civilizations"
islamic_stories_53928,"قصص إسلاميّة","Histoires islamiques","Islamic stories"
ferid_tales_61475,"حكايات فريد","Contes de Ferid","Ferid tales"


phrase_1773132203,"وَصَل فَهْدٌ إلَى اُلْوَرْشَة وَفِي حَوْزَتِه كُلّ اُلْمُعِدَّاتِ الَّتِي يَحْتَاجُهَا . وَفِي انْتِظَار الْتِحَاق فَرِيد بِه ، ذَهَب لِيَبْحَثَ عَنْ مُدَوَّنَتِه ، فَهِي تَحْتَوِي عَلَى كَلِمَةِ آلسِّرّ الَّتِي سَيَسْتَعْمِلُهَا فِي فَتْحِ خَزْنَتِهِ اَلْخَاصَّةِ . ","Fahd est arrivé à l'atelier avec tout l'équipement dont il avait besoin en sa possession. En attendant que Ferid le rejoigne, il est allé chercher son carnet, qui contenait le mot secret qu'il utiliserait pour ouvrir son trésor privé.","Fahd arrived at the workshop with all the equipment he needed in his possession. While waiting for Ferid to join him, he went to look for his notebook, which contained the secret word he would use to open his private treasury."
phrase_1773132208,"فَفَهْدٌ ، وَإِنْ كَانَ كَثِيرَ الْحَرَكَةِ وَالنَّشَاط ، دائماً مَا يُدَوَّنُ الأرْقَام آلسِّرِّيَّة لِأَوْقَات الشِّدَّةِ كَمَا هُوَ الْحَالُ الْيَوْمَ ، فَهُو يَحْتَاجُ إِلَى فَتْحِ الْخَزَنَة لِلِإِطِّلَاعِ عَلَى الْكَمِّيَّات آللَّازِمَةِ مِنْ كُلِّ مُكَوِّنٍ لِصُنْع الْمِفْتَاح لِفَرِيد . فَقِطَعُ الْمَرَكَبَة فَرِيدَةٌ مِنْ نَوْعِهَا وَصُنْعَهَا يَتَطَلَّبُ الْعَوْدَةِ إلَى آلدَّلِيل لِضَمَانِ آلتَّطَابُق مَع الْمُحَرِّك . ","Alors Fahd, bien qu'il soit très actif et dynamique, enregistre toujours les numéros secrets pour les périodes de difficulté, comme c'est le cas aujourd'hui, il a donc besoin d'ouvrir le trésor pour découvrir les quantités requises de chaque composant pour fabriquer la clé pour Ferid. Les pièces du véhicule sont uniques en leur type et leur fabrication, ce qui nécessite un retour au guide pour assurer la compatibilité avec le moteur.","So Fahd, although very active and dynamic, always records the secret numbers for times of hardship, as is the case today, so he needs to open the treasury to find out the required quantities of each component to make the key for Ferid. The parts of the vehicle are unique in their type and manufacture, requiring a return to the guide to ensure compatibility with the engine."
phrase_1773132214,"الْتَحَق فَرِيدٌ بِفَهْدٍ فَوَجَدَهُ مُتَوَتِّرًا وَ مُشَتَّتَ الذِّهْنِ  ، وَقَدْ قَيَّدَ اَلْخَوْف أقْدامه وعَطَّلَ حَرَكَته فَسَأَلَهُ مُسْتَغْرِبَاً : ' مَا الَّذِي حَدَثَ ؟ مَا لِي أَرَاكَ هَكَذَاَ ؟ '","Ferid a rejoint Fahd et l'a trouvé nerveux et distrait, car la peur avait lié ses pieds et paralysé son mouvement, il lui a donc demandé avec étonnement : 'Qu'est-ce qui s'est passé ? Pourquoi te vois-je comme ça ?'","Ferid joined Fahd and found him nervous and distracted, as fear had tied his feet and paralyzed his movement, so he asked him in astonishment: 'What happened? Why do I see you like this?'"
phrase_1773132226,"تَفاجَأ فَرِيد مِمَّا سَمِع فَرَبَتَ عَلَى كَتِفِ فَهْد وَقَالَ أنه لَم يَعْهَدُهُ هَكَذَا ,  يَضْرِب كَفاً بكفٍ وَيَسْتَسْلِمُ ِعِنْدَ أَوَّلِ عَقَبَةٍ ,  فَدَعَاهُ  للبَحْثِ  عَنْ الْمُدَوَّنَةِ مَعًا .","Ferid fut surpris de ce qu'il entendit, il tapa donc sur l'épaule de Fahd et dit qu'il ne l'avait jamais vu comme ça, frappant son poing et se rendant au premier obstacle, il l'invita donc à rechercher le matériel enregistré ensemble.","Ferid was surprised at what he heard, so he tapped Fahd's shoulder and said that he had never seen him like this, hitting his fist and surrendering at the first obstacle, so he invited him to search for the recorded material together."
phrase_1773132385,"شَجَّعَ فَرِيدٌ صًدِيقَهُ عَلَى إعَادَةِ الْبَحْث وَانْطَلَق كُلٍّ مِنْهُمَا يُبْحَثُ مِنْ جِهَتِهِ عَلَى أَمَلِ إيجَادِ الْمُدَوَّنَةِ .","Ferid encourage son ami à refaire la recherche et chacun d'eux partit pour chercher de son côté dans l'espoir de trouver le cahier.","Ferid encouraged his friend to redo the search and each of them went to search from his side in the hope of finding the notebook."
phrase_1773132414,"وَمَرَّتْ سَاعَاتٌ مِنَ الْبَحْث كَأَنَّهَا دَقَائِقٌ وفجأةً صَاحَ فَهْدٌ : 'لقد وَجَدْتهَا ! لَا أُصَدِّقُ إنَّنِي وَضَعْتُهَا هُنَا ! هَيَّا يَا فَرِيد لِنَفْتَحْ الْخَزْنَة و نَبْدَأ فِي صُنْعِ قِطْعَةِ الْمُحَرِّك ! '","Et les heures de recherche sont passées comme des minutes, et soudain Fahd s'est écrié : 'Je l'ai trouvé ! Je ne crois pas que je l'aie mise ici ! Allons, Ferid, ouvrons le magasin et commençons à fabriquer la pièce du moteur !'","And the hours of searching passed like minutes, and suddenly Fahd exclaimed: 'I found it! I don't believe I put it here! Come on, Ferid, let's open the store and start making the engine piece!'"
phrase_1773132435,"اِنْبَسَطَت أَسَارِير وَجْه فَرِيدٍ وَتَحَمَّسَ لِبَدْءِ الصُّنْع . و اِشْتَعَلَت نَظَرَاتُ عَيْنَيْه بِفَرْحَةٍ نَاطِقَةٍ عِنْدَمَا أَحَسَّ أَنَّهُ سَيَعُودُ إلَى الطَّرِيقِ قريباً وَيُكْمِل مُهِمَّتَه. مَا أَرْوَع لَحَظَاتِ الْفَرَحِ إنّها كَالْغَيْثِ النَّافِعِ تَنْزِلُ عَلَى الصَّحْرَاءِ وَأَعْمَاقِهَا الْعَطْشَى  فتزهر كُلّ مِسَاحَاتِهَا","Les sourires d'un visage unique se sont élargis et sont devenus enthousiastes à l'idée de commencer le travail. Ses vues de l'œil se sont enflammées d'une joie éloquente lorsqu'il a senti qu'il allait bientôt retourner sur la route et compléter sa tâche. Quelles moments de joie sont awesomes, ils sont comme la pluie bénéfique tombant sur le désert et ses profondeurs assoiffées, donc toutes ses zones fleurissent.","The smiles of a unique face widened and became enthusiastic about starting work. His eye views ignited with eloquent joy when he felt that he would soon return to the road and complete his task. How awesome are the moments of joy, they are like beneficial rain falling on the desert and its thirsty depths, so all its areas bloom."
phrase_1773132492,"الصّفحة","Page","Page"
phrase_1775119392,"حكايات","Histoires","Stories"
main_page_phrase_1773132492,"الصفحة الرئيسية","Page principale","Main Page"

phrase_1776346134,"خروج","Sortie","Exit"
phrase_1776351069,"التصنيف","Classification","Classification"
phrase_1776351110,"نقاط الخبرة","Points d'expérience","Points of Experience"
phrase_1776351114,"إحصائيات الّلاعب","Statistiques du joueur","Player statistics"
phrase_1776351115,"أفضل نتيجة","Meilleur résultat","Best result"
phrase_1776351135,"جار التّحميل","Chargement","Loading"
phrase_1776351224,"المؤثرات الصوتية","Effets sonores","Sound effects"
phrase_1776351226,"الموسيقى","Musique","Music"
phrase_1776351229,"المستوى","Niveau","Level"
phrase_1776351234,"تهانينا! لقد وصلت إلى مستوى جديد","Félicitations,vous avez atteint un nouveau niveau","Congratulations,you've reached a new level"
phrase_1776355947,"أبحَثُ عَنْ هذَا العُنصر","cherchez cet élément","Look for this element"
phrase_1776356967,"إعادة","ReJouer","Restart"
phrase_1776356971,"حاول مجدداً","Essayez à nouveau","Try again"
phrase_1776357061,"لقد أنهيت المستوى","Vous avez terminé le niveau","You have finished the level"
phrase_1776357144,"النّتيجة","Résultat","Result"
phrase_1776357182,"تهانينا! لقد فتحت الوضع اّلانهائي","Félicitations,vous avez débloqué le mode infini","Congratulations,you've unlocked the infinite mode"
phrase_1776357198,"الوضع اللانهائي","Mode infinie","Infinite Mode"
phrase_1776357242,"إكمال مغامرة","Compléter l'aventure","Complete the adventure"
phrase_1776357431,"المستوى التالي","Niveau suivant","Next level"
phrase_1776357434,"مؤثرات صوتية","Effets sonores","Sound effects"
phrase_1776357437,"المؤثرات الموسيقية","Effets musicaux","Musical effects"


phrase_58291374620,"ألمنيوم","Aluminium","Aluminum"
phrase_94720583641,"ألماس","Diamant","Diamond"
phrase_19374652085,"أوبال","Opale","Opal"
phrase_66592017438,"بلاتين","Platine","Platinum"
phrase_82017463952,"تنغستن","Tungstène","Tungsten"
phrase_37492056148,"توباز","Topaze","Topaz"
phrase_91827364520,"راديوم","Radium","Radium"
phrase_72635481902,"رصاص","Plomb","Lead"
phrase_56473829150,"منغنيز","Manganèse","Manganese"
phrase_83726194075,"بالاديوم","Palladium","Palladium"
phrase_10928374615,"بلاتينيوم","Platine","Platinum"
phrase_67281930465,"فاناديوم","Vanadium","Vanadium"
phrase_91820473651,"كروم","Chrome","Chromium"
phrase_48291037645,"كوبالت","Cobalt","Cobalt"
phrase_75019283674,"موليبدينوم","Molybdène","Molybdenum"
phrase_56192048367,"نيكل","Nickel","Nickel"
phrase_84920173654,"يورانيوم","Uranium","Uranium"
phrase_39018274655,"مغنيسيوم","Magnésium","Magnesium"
phrase_10293847566,"حديد","Fer","Iron"
phrase_65748392011,"ذهب","Or","Gold"
phrase_48392017564,"زمرد","Émeraude","Emerald"
phrase_92038475610,"زئبق","Mercure","Mercury"
phrase_56473820198,"زنك","Zinc","Zinc"
phrase_83720194652,"فضة","Argent","Silver"
phrase_19283746509,"نحاس","Cuivre","Copper"
phrase_91827364012,"ياقوت","Rubis","Ruby"

phrase_71590238461,"إنطلق!","Aller!","Go!"
phrase_1776857406,"إحفظ المقطوعة","Mémorisez la séquence","Memorize the sequence"
phrase_1776857413,"أعد تكرار المقطوعة","Répéter le verset","Repeat the verse"
phrase_1776857417,"واصل أحسنت!","Très bien!","Well done!"
phrase_1776857446,"الوضع الحر","Mode libre","Free mode"
phrase_1778235123,"الانجليزية","Anglais","English"
phrase_1778235135,"الفرنسية","Français","French"
phrase_1778235141,"العربية","Arabe","Arabic"
phrase_1778235144,"اللغة","Langue","Language"
phrase_1778235367,"إختر لغة التطبيق","Choisissez la langue de l'application","Choose application language"

phrase_70052511112,"مع فريد","Avec Ferid","With Ferid"
phrase_21454125478,"مع ياسين","Avec Yassine","With Yassine"
phrase_73333554475,"إفتراضي","Par défaut","Default"
phrase_1778586440,"مَرْحَبًا ! إِسْمي فَريد . سَأَقُومُ بِإِرْشادِكَ لِاسْتِخْدَامِ التَّطْبيقَةِ .","Bonjour ! Je m'appelle Ferid. Je vais vous guider pour utiliser l'application.","Hello! My name is Ferid. I will guide you to use the application."
phrase_1778586444,"اِستمر","Continuer","Continue"
phrase_1778586473,"هُنَا يُمْكِنُكَ تَغْييرُ إعْدَادَاتِ التَّطْبيقَةِ . هَذِهِ الصَّفْحَةُ خاصَّةً >/color< بِبابا وَ مَامَا >color=red< لَا تَفْتَحُ مِنْ دُونِ إذِنِهِمَا.","Ici, vous pouvez modifier les paramètres de l'application. Cette page est réservée à Papa et Mama, elle ne s'ouvre pas sans leur autorisation.","Here you can change the application settings. This page is special for Papa and Mama, it does not open without their permission."
phrase_1778586489,"هَذَا مِلَفُّكَ الشَّخْصيُّ أَيْنَ يُمْكِنُكَ اَنْ تَجِدُ >/color< الجَوائِزَ >color=red< وَ >/color< المَوْسوعَةَ >color=green< الخاصَّةَ بِكَ بِالِاضَافَةِ إِلى >/color< مَفاتيحَ >color=yellow< وَ >/color< أَزْياءٌ >color=cyan< فَريدٍ .","Ceci est votre dossier personnel où vous pouvez trouver des récompenses et votre propre encyclopédie en plus de clés et d'objets uniques.","This is your personal file where you can find awards and your own encyclopedia in addition to unique keys and items."
phrase_1778586496,"إِضْغِطٌ عَلَى هَذَا اَلْزَرِّ لِلذَّهَابِ إِلَى صَفْحَةِ الأَلْعابِ .","Appuyez sur ce bouton pour aller à la page des jeux.","Press this button to go to the games page."
phrase_1778586525,"إِضْغِطٌ عَلَى هَذَا اَلْزَرِّ لِلذَّهَابِ إِلَى صَفْحَةِ فريد .Tv","Appuyez sur ce bouton pour aller à la page Ferid Tv","Press this button to go to Ferid Tv page"
phrase_1778586532,"إِضْغِطٌ عَلَى هَذَا اَلْزَرِّ لِلذَّهَابِ إِلَى صَفْحَةِ الخَرِيطَة","Appuyez sur ce bouton pour aller à la page de la carte","Press this button to go to the map page"
phrase_1778586538,"إِضْغِطٌ عَلَى هَذَا اَلْزَرِّ لِلذَّهَابِ إِلَى صَفْحَةِ القِصَصْ.","Appuyez sur ce bouton pour aller à la page des histoires.","Press this button to go to the stories page."
phrase_1778586543,"إِضْغِطٌ عَلَى هَذَا اَلْزَرِّ لِلذَّهَابِ إِلَى صَفْحَةِ المَجَلّاتْ.","Appuyez sur ce bouton pour aller à la page des magazines.","Press this button to go to the magazines page."
phrase_1778594159,"اختر صف طفلك ","Choisissez la classe de votre enfant","Choose your child's grade"
phrase_1778594281,"التّمهيدي","prématernelle","Pre-kindergarten"
phrase_1778594835,"التّحضيري","Maternelle","Kindergarten"
phrase_1778594847,"سنة أولى","Première année","First year"
phrase_1778594849,"سنة ثانية","Deuxième année","Second year"
phrase_1778594851,"سنة ثالثة","Troisième année","Third year"
phrase_1778594853,"سنة رابعة","Quatrième année","Fourth year"
phrase_1778594855,"سنة خامسة","Cinquième année","Fifth year"
phrase_1778594857,"سنة سادسة","Sixième année","Sixth year"
phrase_1778594864,"اختر المواضيع المفضّلة لطفلك","Choisissez les sujets préférés de votre enfant","Choose your child's favorite topics"
phrase_1778596242,"الإبداع","Créativité","Creativity"
phrase_1778661947,"ملفي الشخصي","Mon Profil","My Profile"
phrase_1778661981,"جوائزي","Mes récompenses","My awards"
phrase_1778662000,"موسوعتي","Ma encyclopédie","My encyclopedia"
phrase_1778662004,"مفاتيحي","Mes clés","My keys"
phrase_1778662489,"أَكْمَلْتُ المَرْحَلةَ الأُولى","Tu as terminé la première étape","You completed the first stage"
phrase_1778662499,"هَذَا مِلَفُّكَ الشَّخْصيُّ","Ceci est votre dossier personnel","This is your personal file"
phrase_1778662540,"إستمر","Continue","Continue"
phrase_1778662547,"هُنَا يُمْكِنُكَ أَنْ تَجِدَ مَوْسوعَتَكَ","Ici, vous pouvez trouver votre encyclopédie","Here you can find your encyclopedia"
phrase_1778662556,"هُنَا يُمْكِنُكَ أَنْ تَجِدَ جَوائِزَكَ","Ici, vous pouvez trouver vos récompenses","Here you can find your rewards"
phrase_1778662628,"هُنَا يُمْكِنُكَ أَنْ تَجِدَ مَفَاتِيحََ المَرْكَبَةِ","Ici, vous pouvez trouver les clés du véhicule","Here you can find the vehicle keys"
phrase_1778662684,"هَذَا فَضاءٌ فَريد أَيْنَ يُمْكِنُكَ أَنْ تَجِدَ مَلابِسَ فَريد","Ceci est un espace unique où vous pouvez trouver les vêtements de Ferid","This is a unique space where you can find Ferid's clothes"
phrase_1778665207,"اشترك الآن","Abonnez-vous","Subscribe"
phrase_1778665217,"هَذِهِ هِيَ الخَريطَةُ , فَلَنَذَهِبْ مَعًا فِي مُغامَرَةٍ رائِعَةٍ","Ceci est la carte, allons donc ensemble dans une aventure incroyable","This is the map, so let's go on an amazing adventure together"
phrase_1778665282,"اِستَمِرّ","Continue","Continue"
phrase_1778665294,"فَلْنَضغَطْ هُنَا لِنَبدأَ المَرْحَلَةَ الأولى","Appuyons ici pour commencer la première phase","Let's press here to start the first phase"
phrase_1778666991,"تفاصيل إشتراكي","Mon abonnement","My subscription"
phrase_1778666994,"المساعدة","Aide","Help"
phrase_1778667001,"الملف الشخصي للعائلة ","Profil de la famille","Family Profile"
phrase_1778667008,"إختر اللغة","Choisissez la langue","Choose Language"
phrase_1778667065,"كيف أستعمل التطبيقة","Comment utiliser l'application","How do I use the application"
phrase_1778667069,"ارسل لنا رأيك","Envoyez-nous votre avis","Send us your opinion"
phrase_1778667072,"اتصل بنا","Contactez-nous","Contact us"
phrase_1778667982,"معلومات ولي الأمر","Informations sur le parent/tuteur","Guardian/Parent Information"
phrase_1778667987,"اسم الوالدين","Nom des parents","Parents'name"
phrase_1778668005,"الإسم","Nom","Name"
phrase_1778668026,"تغيير الصّف","Changer la classe","Change grade"
phrase_1778668040,"تعديل","Modifier","Edit"
phrase_1778668043,"حفظ","Enregistrer","Save"
phrase_1778668073,"معلومات الطفل","Informations sur l'enfant","Child Information"
phrase_1778668078,"طلب حذف الحساب","Supprimer compte","Delete account"
phrase_1778668100,"أطفالك هم هدية من الله، يرجى الاعتناء بهم قدر استطاعتك.","Vos enfants sont un don de Dieu, veuillez prendre soin d'eux dans la mesure de vos moyens.","Your children are a gift from God, please take care of them to the best of your ability."
phrase_1778668104,"أرسل لنا رأيك","Envoyez-nous votre avis","Send us your opinion"
phrase_1778668136,"الرسالة","Le Message","The Message"
phrase_1778668139,"محتوى الرسالة","Contenu du message","Message content"
phrase_1778668272,"قيمنا على المتجر","Évaluez-nous sur le Store","Rate us on the store"
phrase_1778668275,"أرسل","Envoyer","Send"
phrase_1778668278,"إتصل بنا!","Contactez-nous !","Contact us!"
phrase_1778668402,"فريد حول العالم","Ferid autour du monde","Ferid around the world"
phrase_1778668410,"الفريق","L'équipe","The team"
phrase_1778668483,"فريد حول العالم التطبيق التعليمي العربي الأول من نوعه لتنمية مختلف الذكاءات لدى الأطفال تحت إشراف فريق من المتخصصين و الخبراء في التربية التعليم و التكنولوجيا","Ferid dans le monde entier, la première application éducative arabe de son genre pour développer les différentes intelligences chez les enfants, sous la supervision d'une équipe de spécialistes et d'experts en éducation, enseignement et technologie","Ferid around the world, the first Arabic educational application of its kind to develop different intelligences in children, under the supervision of a team of specialists and experts in education, teaching and technology"
phrase_1778668488,"المالك الحصري","Propriétaire Exclusif","Exclusive Owner"
phrase_1778668546,"الرئيس التنفيذي","Directeur général","Chief Executive Officer"
phrase_1778668563,"المدير التقني ","Directeur technique","Technical Director"
phrase_1778668567,"الفريق التقني","Équipe Technique","Technical Team"
phrase_1778668578,"مسؤول القسم البيداغوجي","Chef du département pédagogique","Head of the Pedagogical Department"
phrase_1778668600,"مختصّة في بيداغوجيّة الطّفل","Spécialisée en pédagogie de l'enfant","Specialized in child pedagogy"
phrase_1778668603,"الفريق البيداغوجي","Équipe pédagogique","Pedagogical team"
phrase_1778668665,"نحن حزينون جداً لرؤية أحد أصدقاء فريد يرحل 💔بحذف حسابك، ستفقد جميع تقدمك في الرحلات، الجوائز، الأصدقاء، والذكريات الجميلة التي قضيتها معنا","Nous sommes très tristes de voir l'un des amis de Ferid partir 💔 En supprimant votre compte, vous perdrez tout votre progrès dans les voyages, les récompenses, les amis et les beaux souvenirs que vous avez partagés avec nous","We're very sad to see one of Ferid's friends leave 💔 By deleting your account, you will lose all your progress in journeys, rewards, friends, and beautiful memories you've had with us"
phrase_1778668700,"سبب الحذف","Raison de la suppression","Reason for deletion"
phrase_1778668706,"أرسل الطّلب","Envoyer la demande","Send the request"
phrase_1778668719,"قد تفقد بعض تقدمك في الألعاب","Vous pouvez perdre une partie de vos progrès dans les jeux","You may lose some of your progress in games"
phrase_1778668721,"العودة","Retour","Return"

phrase_55127483920,"اسم الولي","Nom du parent","Parent Name"
phrase_55863104715,"جنس الولي","Sexe du parent","Parent Gender"
phrase_55390821647,"تاريخ ميلاد الولي","Date de naissance du parent","Parent Birth Date"
phrase_55742019836,"المعرّف","Identifiant","Identifier"
phrase_55186530492,"اسم الطفل","Nom de l'enfant","Child Name"
phrase_55927461803,"لقب الطفل","Prénom de l'enfant","Child Surname"
phrase_55418372965,"جنس الطفل","Sexe de l'enfant","Child Gender"
phrase_55674029184,"تاريخ ميلاد الطفل","Date de naissance de l'enfant","Child Birth Date"
phrase_55231948706,"صف الطّفل","Classe de l'enfant","Child Grade"
phrase_55890214537,"الرجاء إدراج رسالة","Veuillez saisir un message","Please enter a message"
phrase_55367102849,"لقد تجاوزت عدد الرّسائل المتاحة","Vous avez dépassé le nombre de messages autorisés","You have exceeded the allowed number of messages"
phrase_55715843902,"لقد تم إرسال الرسالة بنجاح","Le message a été envoyé avec succès","Message sent successfully"
phrase_55482619073,"لقد تم إرسال طلب حذف الحساب بنجاح سيقوم الفريق بحذفه خلال الأيام القادمة","La demande de suppression du compte a été envoyée avec succès. L'équipe supprimera le compte dans les prochains jours.","Account deletion request sent successfully. The team will delete the account in the coming days."
phrase_1778681360,"اختر لعبتك المفضّلة","Choisissez votre jeu préféré","Choose your favorite game"
phrase_1778681364,"بدون لعبة","Sans jeu","Without a game"
phrase_1778681426,"المقطع التوضيحي ","Vidéo tutoriel","Tutorial video"
phrase_1778682622,"النهاية","La Fin","The End"
phrase_1778682630,"الصّفحة الرّئيسيّة","Page d'accueil","Home page"
phrase_1778682714,"أقرأ القصّة مجدّدا","Lis à nouveau l'histoire","Read the story again"
internet_connection_check_48291,"تأكد من إتصالك بالأنترنت","Vérifiez votre connexion Internet","Check your internet connection"
unknown_download_error_73952,"خطأ غير معروف أثناء تنزيل المحتوى","Erreur inconnue lors du téléchargement du contenu","Unknown error while downloading content"
download_completed_can_play_now_18463,"تم التحميل يمكنك التشغيل الآن","Téléchargement terminé, vous pouvez jouer maintenant","Download completed, you can play now"

story_000210_phrase_5829104821,"إنِّي أَعشَقُ الاِسْتِلْقَاءَ فِي الْحَدِيقَةِ وَ الِاسْتِمَاعَ إِلَى أَصْوَاتِ الطّبِيعَةِ وَ الْكَوْنِ.","ahhh, j'adore m'allonger dans le jardin et écouter les sons de la nature et de l'univers.","ahhh, I love lying in the garden and listening to the sounds of nature and the universe."
story_000210_phrase_3940192847,"وَ فِي زِيَارِتِي لِلْكَوَاكِبِ مَعَ عَائِلَتِي , كُنْتُ أَهْوَى تِلْكَ الْأَنْغَامَ الَّتِي تَصْدِرُ مِنَ الْخَارِجِ","Lors de mes visites sur les planètes avec ma famille, j’ai toujours aimé ces mélodies qui venaient de l’extérieur.","During my visits to the planets with my family, I always loved those melodies that came from outside."
story_000210_phrase_8472910482,"أَشْعُرُ بِالسَّعَادَةِ الْغَامِرَةِ؛ لِأَنَّنِي أُخَصِّصُ وَقْتِي لِشَيْءٍ يَنْفَعُنِي، وَأُبْرِعُ فِيهِ، وَأَكُونُ مُبْدِعَةً، وَلَكِنْ لَا أُوَاصِلُ التَّمَيُّزَ فِي الْمُوسِيقَى إِلَّا بِالِاجْتِهَادِ وَالْعَمَلِ الْمُتَوَاصِلِ.","Je me sens très heureux ! Parce que je consacre mon temps à quelque chose qui m’est bénéfique et qui me permet d’exceller et d’être plus créatif, mais ce n’est que grâce à un travail acharné et constant que je peux continuer à maîtriser la musique.","I feel very happy ! Because I devote my time to something that benefits me , and allows me to excel and be more creative, but only through consistent hard work I can continue mastering the music."
story_000210_phrase_1049284738,"فَأَطْرَبُ لَهَا وَ أُلَحِّنُ مَعَهَا وَ مَا يَشْغَلُ بَالِي إِلَّا نَسَقُهَا الرَّائِعُ , فَهِي فِي كُلِّ مَكِانٍ وَ مَا عَلَيْنَا إِلَّا الْاِنْتِبَاهُ لَهَا","Ainsi, j’en fus enchanté, et je composai des mélodies avec elle, et rien n’occupait mon esprit si ce n’est sa merveilleuse harmonie ; car elle était partout, et tout ce que nous avions à faire était d’y prêter attention.","Thus, I was enchanted by it, and I composed melodies with it, and nothing occupied my mind except its wonderful harmony; for it was everywhere, and all we had to do was pay attention to it."
story_000210_phrase_9284710492,"لَا أَشْعُرُ بَأَيِّ مُتْعَةٍ كَشُعُورِي بِاِنْحِصَارِ تَرْكِيزِي عَلَى أَصْوَاتِ الْبُلْبُلِ وَ حَفِيفِ الْأَشْجَارِ كَأَنَّهَا آلَاتٌ مُوسِيقِيَّةٌ","Je ne trouve aucun plaisir comparable à celui de me perdre dans les sons des rossignols et le bruissement des arbres, comme s’ils étaient des instruments jouant une belle mélodie.","I find no pleasure quite like the feeling of losing myself in the sounds of nightingales and the rustling of trees, as though they were instruments playing a beautiful melody."
story_000210_phrase_4729104839,"إنَّنِي مُغْرَمَةٌ بِأَلْحَانِ الطَّبِيعَةِ وَ بَهْجَتِهَا لِدَرَجَةِ أَنِّي أُقَضِّي سَاعَاتٍ مُسْتَلْقِيَة فِيهَا وَ مُمْسِكةً عَصَا صَغِيرَةً أُرَاوِحُهَا كَقَائِد الْفَرِقِ الْمُوسِيقِيَّةِ","Je suis complètement enchanté par les mélodies de la nature et sa beauté joyeuse ; je peux passer des heures simplement allongé là, une petite brindille à la main, la bougeant comme un chef d’orchestre dirigeant une grande symphonie.","I am utterly enchanted by nature’s melodies and its joyful beauty; I can spend hours simply lying there, a small twig in my hand, moving it like a conductor leading a grand symphony."
